text,true_label,predicted_label
Call your local fire Marshall and advise them that the landlord is refusing to install smoke detectors. Maybe even delve into checking with the IRS if he is claiming that property as primary residence fraudulently. Also be prepared to find a new apartment as they will illegally evict you.,WARNING,ADVICE
"You most certainly can tell your mother that you have concerns about it being a scam. Raising the concern is the responsible thing to do both as an adult and as a dutiful adult child. 

The situation you described is highly suspect, and if you facilitate you will most likely end up personally losing $30k and facing significant consequences if you don’t have your own extra cash to cover the loss. 

What is the source of the check? Why can’t she transfer it herself? If she’s writing the check herself off an account she owns and controls, she should be able to initiate her own transfer. If it’s coming from someone else, they should be able to wire it directly. ",ADVICE,WARNING
"Just based off of the gagging it sounds like a possible ed, ARFID, a selective eating disorder. It depends though, Does he only a small variety of things? As in does he only seem to eat hot dogs, hamburgers, and chicken nuggets? I suggest looking into it.",ADVICE,APPRAISAL
"Good advice, I will break this out in a spread sheet",ANECDOTE,ADVICE
how are my expectations unreasonable?,EMOTIONAL_SUPPORT,APPRAISAL
"Your pride is not important. His desires are not important. As if 7 months ago, the only thing that matters is your daughter. Do what you need to do to make sure she has the best you can provide. If that means being embarrassed by ""I told you so"", so be it. ",WARNING,ADVICE
"I'd like to point out, you're about to graduate and either go to university or get a full time job, she's still *early* on in school. You're in completely different stages of your lives, she won't be on your level when you graduate.",WARNING,APPRAISAL
"Your parents won't be raising the kid, they don't get a say. The child will rely on you completely for at least 20 years, and if you're not ready for that commitment then that's all there is to it. I think you should try and figure out what your own opinions are on the matter, seperate from your husbands or parents, and then sit down and have a real conversation with him about what kind of time frame you're thinking. You have time, but if you don't think you ever want them, your husband deserves to know that as soon as possible.",APPRAISAL,ADVICE
"Do you care more about fostering a healthy relationship wherein emotion and love take precedent, or is being the best sexual partner she's had really that important?

Find your balance between the two. She's with you and not him. That does speak a volume louder than words could. ",ADVICE,APPRAISAL
"The first red flag was her making him cut ties with friends, even in a relationship a guy can still have friends with people of the opposite sex.",ANECDOTE,APPRAISAL
"Your son is an adult. He didn’t “run away” except in the sense that he left abusive parents. 

The curious lack of any specifics in your original post of what you and your husband did to prompt this, the insulting dismissal of his feelings and actions, and the trickle of not-so-carefully screened truths in replies to commenters pressing for more information all paint a textbook picture of your situation: your husband abused him, and you co-abused by putting and keeping your child with this man, and by insulting, belittling, and dismissing your son’s feelings. You are experiencing the results: he left, and he wants nothing to do with either of you. 

Now you have a choice: reflect on your choices, your behavior, and your selection in partners, resolve to get better for your own sake, and put in the work to become a better person, and hope that maybe one day he’ll give you another chance and you can be the mother he deserved to have all this time. Or you can engage in self pity and continue to childishly blame your child for all that’s happened, while still expecting him to give a shit and have a relationship with you. The latter choice will not get you what you want, just to give you a preview. You made a lot of choices to get to where you are today; you will have to make a lot of choices to atone and become better. ",APPRAISAL,ADVICE
"You know, I don't think that this is that big a deal.  What is a bigger deal is that your BF is STILL TALKING TO HIS EX.  He cannot get over her as long as he is texting her.  They're basically carrying on an emotional relationship with each other.  She is making sure he is constantly thinking about her by texting him.  I don't know if you feel this is cheating or not, but he should block her, erase her and delete her from his phone and his social media.   She cannot ""bug"" him if he BLOCKS HER.

I know how difficult it is to cut someone out of your life.  But this is like any other romantic relationship.  When it's over, it's over.  Most people cannot be friends with their exes, and it definitely hurts a relationship if he's constantly in touch with his ex.

You need to talk with him and get your BF to block her.  You know what his ex is trying to do.  She's trying to break you up.  He should not be giving her the chance to do it!",WARNING,ADVICE
"don't think i was clear my apologies; he doesn't live here, and she doesn't own the house, my aunt does. 

thank you though, i'll take this into consideration.",ADVICE,ANECDOTE
"1) opening a credit card will drop your score. ( mine went down from 800 to 760) 

2) if you make minimum payments for whatever the terms cc came with, your credit utilization will be higher but you shouldn’t worry about this unless you are going to buy something big in that time frame. ( I got new CC because I had couple big bills totaling around 14k, thought instead of using my money may be I can put it on cc for 0%, AMEX card had 1.5% reward and 0% for 18 months, so I am just making minim payment until last month and then pay CC. My current score is at 750 because of 17k on that card.) 

As soon as I pay that up it should bounce back. 

I didn’t have any major purchase planned so I wasn’t worried about my score. In this process I got 18months 0%, earned 2% savings rate on my money and got $300 reward for signing up new card and $200 bucks in cash back from card. So it doesn’t seem like a bad deal ",ANECDOTE,ADVICE
"When you are with someone for a long time, especially when you start dating young , there is a transition. A persons tastes may change, they may become complacent. They may start doing things they normally won’t do. 

You said something about failing relationship. First off, it’s ok to fail. In this case it wasn’t you who failed the relationship, am I right? His behavior may seem mild now, but what happens if it does escalate and the next thing you are discovering is that he did have sex with another woman.

If you are living under the adoration of your friends because they envy your relationship, eventually that will wear away and you are left creating this facade to hide the truth. 

Perhaps you should confront him , tell him how this makes you feel. If your relationship is solid and everything is on the table then he should comply and say yeah I did it. But if he hides it or “it’s no big deal” , he’s paving the way for future things and you’re probably going to accept them or turn your head. Remember if you have a strong trusting relationship, he shouldn’t have anything to hide such as internet browsing histories etc. 

Shouldn’t he be idolizing you instead of them?

Relationships are hard work. People make mistakes. They should also correct certain behavior when it hurts the one they love. ",APPRAISAL,ADVICE
"She caused you lots of pain and emotional uncertainty / discomfort. It's hard for your brain to see her happy and feel that she deserves it. Problem solved. 

Note - she will probably get divorced or not married at all she's 19 FFS and has 0 business getting married, i'd remind yourself of the proverbial 50. cal bullet you dodged by her dumping you. I'm sure her abusive behavior hasn't been cured",WARNING,APPRAISAL
"Read [this book] (https://www.waterstones.com/book/the-diary-of-a-young-girl/anne-frank/mirjam-pressler/9780241952443)

It's the diary of Anne Frank, I read it again recently and it's fascinating how she felt, being a child and an adult at the same time. And her relationship with her parents etc. 

As a teenager, with parents, I'd really recommend this book to you. x",ANECDOTE,ADVICE
Not it's not for you to share. It's crazy how money can bring out other sides to people!,APPRAISAL,EMOTIONAL_SUPPORT
It just seems to be relying on the unknown too much. “Let’s take on more than we can handle financially and hope nothing happens”. ,APPRAISAL,ANECDOTE
"It was hard for me finish reading your whole post because I wanted to shout 'RED FLAG! RED FLAG!' If you cannot talk to your best friend, you do not have an amazing relationship. And you are not ""allowing him to feel jealous,"" if you could actually control his emotions, you could wave you hand and command him not to feel jealous.  He feels jealous because he's choosing to believe there's something to be concerned about.  

This isn't exactly a matter of ""right"" or ""wrong"" or other judgments.  Different people have different personal boundaries as far as what is acceptable and comfortable in a relationship. It's important to know your own boundaries as well as your partners, so you can have a discussion about whether or not you're able to meet each others' needs. 

What are your boundaries?  What are your needs in and outside your relationship?  Does you partner honor and respect your needs?  Is this, overall, an appropriate situation for you?

&#x200B;

Tara Eisenhard  
Divorce/Breakup Coach",EMOTIONAL_SUPPORT,ADVICE
"I feel like all the other comments about the situation were leaning in this direction.

I know it’s hard to hear, darling, but it’s time to leave before he gets physically abusive.

That’s the next logical progression for his behavior, as he already doesn’t respect your boundaries.....

Please understand that you are too amazing of
A human being to put up with such nonsense.
Any partner you’re involved with should treat you like the prize you are. Please understand that you are too incredible of a human being to be worthy of the physical abuse that this will escalate too.  I’m not saying it might. I’m saying it will.

Get out while you can.",WARNING,ADVICE
Oh. Thank you for that. I didn't know of that one. I'll pass that along. ,ANECDOTE,EMOTIONAL_SUPPORT
"It's even harder to win when it's your own fault, I would say...",ANECDOTE,APPRAISAL
"Not yielding to a honk is serious.  She was around a bus (be it city or school).  What if it was a little kid she hit and not a car? 

Yeah, she could have been anyone who was stressed out.  But that's the point.  It doesn't matter your age.  She was asking for an accident by getting behind the wheel distressed.",APPRAISAL,WARNING
"Great to see you have an entrepreneurial mindset, but you are trying to solve a minor problem from the wrong direction, man. 

First of all, let me poke an obvious hole in your math. If I can buy brand new furniture for $760, and if it costs $1,200 to hire movers to move it, then if I had to move, I would call Goodwill to pick up my furniture for free and then buy new furniture for another $760. Under no circumstances is it rational for someone to pay more to move something from place to place than it would cost to buy a new version of that thing. 

You are marketing a service to a demographic that doesn't exist. People who are moving nearly every year are almost certainly younger and with less disposable income. These people *do not hire movers*. Paying for convenience isn't a concept because they can't afford it. People who are willing and able to pay for movers likely don't move all that often and have more valuable belongings, meaning that they would prefer *their own belongings*, not rentals.

I also want to address your assertion that it is a generational thing that young people move around so much ... it's not. People 22-30 move around, sure, but as people get older, they naturally settle into careers and living situations that are, in general, more stable. To be clear, though, there is not an entire generation of people who routinely move every 1-2 years as a matter of course. When my friends and I got out of college, most of us moved at least once a year... eight years later, my only friends and family who have moved in the past year have a) moved cities due to job relocation, b) purchased homes or c) gotten married/divorced. It just isn't reasonable to expect that people will use your service, were it to exist, for more than a few years before they are in a stable situation.

When I moved into my apartments in college, I moved myself with my own car since I just bought my furniture from the person who was in the apartment before me, and I sold it to the person who came after me when I left. After college, I moved by borrowing a friend's pickup truck once and using a U-haul twice. Three moves cost a combined $500, and it was only that much because one of the times I dropped off at a different location than I rented the U-haul.

If you want to look to rent furniture, don't look to individuals; look to landlords. You can contract with a landlord, who can offer to furnish an apartment for an added cost. Of course, this service has been around for years, so your entry into the market would be to build a better mouse trap, not create a whole new thing.",ADVICE,ANECDOTE
Yeah I got another contractor in to look at the back splash alone. And he said it needs to all come down. He could not work with any of it. Do I need to get like a surveyor in or something to look at the damages?,EMOTIONAL_SUPPORT,ANECDOTE
"The case usually is low self esteem. I dated a girl who cheated on me because she had low self esteem, so she’d run to other guys to tell her that she’s beautiful and how much they like her so she could feel better about herself. But it also has to do with selfishness and lack of respect for your partner. Clearly if your partner cheats on you, they don’t respect you whatsoever.

Tread carefully my friend.",ANECDOTE,ADVICE
"I filed a small claims case for my property value, court costs, and treble damages. However, Im going to tey and talk to a tenant landlord lawyer today and see what they say. I doubt she’s been served yet.",ADVICE,ANECDOTE
"You’re 18, the kid isn’t yours, and SO much is going to happen developmentally for you in the next 4 years.

I think you know what is best for you.  ",ANECDOTE,APPRAISAL
"Then just see what your credit score is like after the refi, and if it's still in a good range for the card you want, you should be fine.",APPRAISAL,ADVICE
"Paying the $19,000 isn't ""paying off your PMI"". All you're doing is getting your balance down to <80% loan to value so that legally you are not required to have PMI which... is totally fine if you want to do that.

However, a much cheaper solution would be to actually buy out your PMI. You could for example refinance your home and buy out the PMI up-front for a fraction of that $19,000.

Another solution is to refinance with a 80/10/10 loan and also skip PMI without buying it out. Check it out....good luck.",ANECDOTE,ADVICE
"To add to this, intimidating or threatening a census worker could also raise the profile of what happened, and could involve the FBI. So the details of that interaction might be important.

Or it could be about something totally different and this just happens to be something unrelated close to that time.",APPRAISAL,WARNING
"Caviot, physical items with a lien against them will be forfeited en lieu of the item. ie his car note will be forfeited in exchange for the car. If you want the car, you may be able to take on the loan. Same for house. Consult an attorney to make sure it goes as you want. ",ADVICE,WARNING
"Maybe your past behaviour has attracted some fuckboys. You're not being rude nor manipulative. He is being both rude and manipulative. Lmk if you want to share thoughts on how to find better guys.

Also, your ex has an ""expectation"" that you'll provide sex to him, since you did before. This expectation contributes to his anger. It does not make him good, and it does not make you bad. Since you guys have different expectations now, you're not good for each other anymore.",EMOTIONAL_SUPPORT,ADVICE
My grandmother died this morning. We found out she had cancer a month ago and we put her in hospice last week because the doctor said chemo wouldn't be particularly helpful.  I'm sorry that you are going through this.  I hated seeing her on what was essentially her deathbed and you aren't wrong for having those feelings.  It's painful to see someone we love suffer.,EMOTIONAL_SUPPORT,ANECDOTE
I am so sorry for your loss.  If you have not tried the subreddit CasualConversation you might check it out just for human contact. ,EMOTIONAL_SUPPORT,ADVICE
"  The hardest thing (for both of you) is to make the change from parent\child relationship to adult\adult relationship.  My mum and I are still working on it; and, we've a decade on you.

  It takes not only respect, but also concerted effort from **both** parties.  

  Best of luck  {{Bowchickawowsku}}",ANECDOTE,EMOTIONAL_SUPPORT
"So messed up I have to spend all this money to hopefully get it reduced/thrown out, but if that’s my best shot I’ll try to make it happen

In your opinion, what is a good defense here",ADVICE,ANECDOTE
"If evil be spoken of you and it be true, correct yourself, if it be a lie, laugh at it. - Epictetus
",APPRAISAL,ADVICE
"You can take the shot and look for your ideal or you can stay with her, take your choice. But if you’re out on the dating world again, it’ll take some time.

But you can still have a great four year experience as a single person outside of sex and love, it’s all up to you.",APPRAISAL,ADVICE
"It's not a question about timing markets, it's about minimizing long term tax exposure.  If you can pay minimal capital gains tax to get more money in an account that's tax advantaged, that extra year in the market could easily outweigh the difference long term, if that extra tax advantaged $$ grows into more than the capital gains tax paid plus what it would've made if left in the stock market, all that new money is tax advantaged too where it wouldn't be if it was still stock.  There's a *lot* of variables at play for what OP is asking, really more than anybody posting here is qualified to give advice on.  This is the kind of thing that's extremely specific to the person doing it and the kind of thing a personal financial advisor would be paid to run the numbers on.

&#x200B;",APPRAISAL,WARNING
What are the other factors involved? Do you like the job you have now? Why are you trying to leave? What is the new job title versus your current job title? How would it look on a resume? How much is more pay? What are your current expenses?,ADVICE,APPRAISAL
"It depends on whether or not you think it's a scam.  If you do think so, then make her go through the court.  If not, the a subpoena will make her jump through a couple of extra hoops.  IANAL, though.  You may want to consult with one.  ",APPRAISAL,ADVICE
"I would consider getting a therapist who can help coach you to improve socially through feedback, practicing social situations, and supportive suggestions as you try out your developing skills.",ANECDOTE,ADVICE
"No, in Canada you only need the consent of one involved party for a recording to be legal. You can't record others, but you can record yourself interacting with others without their knowledge or consent. I looked into this very thing for my wife when her boss was being an asshole.",WARNING,APPRAISAL
"It is not letting them walk over you, it is just the reality. You can move your checking account but it is not going to send any message really and they won't care.

Good luck moving your mortgage account if you opened it a few years ago since we will not see those low rates for a long time. No one should ever refinance to a higher rate just as a protest, that's just an idiotic move.",EMOTIONAL_SUPPORT,ADVICE
Moral of the story is don’t use your debit card to fill gas. If you used a credit card would of been disputed with no problem.,APPRAISAL,ADVICE
"Kind of ironic that you have a history of cheating on an SO and because of a high number of partners you believe your current SO can't be trusted.

If anything, your SO should be concerned about you you sneaking around behind their back.

But to answer your initial question..... No its not too damn high.",APPRAISAL,WARNING
">They'll almost certainly suggest you START with a cease and desist letter that will hopefully make her realize that her actions have consequences.  

Judges will generally prefer you start with a cease and desist too, so you can show your attempt to mitigate losses.  So this is an important step if you end up litigating the matter anyway.",ANECDOTE,ADVICE
"I sometimes get random itchy spots and ,since I bruise easily, I get bruises after I itch them.",APPRAISAL,ANECDOTE
