id,text,label,
1,"Wells Fargo did the same to me several years ago. Those morons **knew** the fraud was happening. Before I had found out the bank called me when the thief was cashing one of my checks. They asked to talk to me and I said ""Yes, this is me."" And WF says ""that's odd you are in the bank right now cashing a check.""  Agitated by the stupid reply I told the guy, obviously it's not me stop him!  They didn't.  They gave him the money then locked my account so I couldn't withdraw any money for about 6 weeks because ""you may have been involved in it."" 

Believe it or not I didn't change banks until they erroneously bounced my mortgage payment 6 months later as a result of the the indecent.  ",ANECDOTE,
2,We can only go up from here right??? ,EMOTIONAL_SUPPORT,
3,"Truthfully, I feel like the problems you are having are your personal problems and her financial situation shouldn’t have to counter into them. How is she handling her own financial situation? Is she stressed and dependent on you during your time of stress? If so, that could be a new burden and that’s another story. ",APPRAISAL,
4,"Maybe your past behaviour has attracted some fuckboys. You're not being rude nor manipulative. He is being both rude and manipulative. Lmk if you want to share thoughts on how to find better guys.

Also, your ex has an ""expectation"" that you'll provide sex to him, since you did before. This expectation contributes to his anger. It does not make him good, and it does not make you bad. Since you guys have different expectations now, you're not good for each other anymore.",APPRAISAL,
5,"Yeah, he’s nice to me in every other way. I definitely do worry about this one aspect. We’ve talked about it once before. He said he just doesn’t understand why the things I get upset about are a big deal and he has a hard time seeing past the surface. Like in this situation he would think I’m just getting upset at him for hanging out with his friend, not for bailing on our plans. Definitely something me and him need to communicate and work on better in the future . ",ANECDOTE,
6,"Right there you're fucking up by saying ""he deserves better than me."" No one can judge what another deserves, only we can decide that for ourselves. In my opinion at least. Your boyfriend I think needs to figure things out for himself, and I think you telling him why you're leaving may be a wake up call to him. Maybe he's depressed but hasn't been diagnosed? Something clearly happened to him, but if what you're telling me is true then you've done all you really can. 

As a rebuttal to your one point of ""I don't want to be alone I don't think I can blah blah yadda yadda."" Long story short I was in a relationship for a year and a half that ended horribly, and that experience made me want to do nothing but stay by myself. Now of course that scenario is different than yours, but being by yourself doesn't mean forever nor does it mean you're ""alone"" as my ex liked to call it. Embrace it, and focus on your goals, your hobbies, your interests. Maybe save some money, something. Stressing about relationships isn't healthy and I can tell you right now if you just jump into another one immediately after, you will regret it. I've been there. 

Maybe I'm wrong, I don't encourage you to try and prove me wrong, but people are a diamond dozen. You live and learn, people come and go. All of my exes I shared something special with, and even though our time has come and gone I still reflect on them and care about them just as much as I did the day I met them. Life will go on I can promise you that. ",ANECDOTE,
7,"Please write a review of this store online - if you got the guy's name include it in the review. 

This is unacceptable behavior in a comic book store - really any store. I know you didn't ask for this responsibility, but please help others avoid the same fate by saying something about it. ",ADVICE,
8,Thank you. I'll break it off with him 2day,ANECDOTE,
9,"If you are going to do this (and I'd recommend you find some other way), I'd suggest baiting. Don't throw the first punch. In that situation, either; you bait them into attacking you and defend yourself succesfully (remember reasonable force). Or, they back down, lose face, and won't see you as you seem to think they do anymore.


I would find some other way to 'prove' you aren't intimidated. The way I'd try to look at it, tomorrow once you've calmed down a bit, is this... do you want to go to prison over some dickhead? Do you want to lose your job over some dickhead? I'm sure in the moment it'd feel great to beat the crap out of this guy, but the repurcussions would not be good.


It sounds like all you need to do in this situation is let these people know you're not to be fucked with. There's ways to do that without going to prison.


Hope you get this sorted! Deep breaths bro. I know how hurtful it is when people assume that because you're not straight, you're some sort of pushover. Try to remind yourself that THEY are the defective ones. There's nothing wrong with you, they're the ones with a basic brain.",ADVICE,
10,"She has to pay income tax on the value of the stock grant.

That is regardless of whether she sells the stock or not.  The stock grant is just salary,  paid in the form of stock rather than cash, so, she owes income tax on it.

If she does not sell the stock (or all of the stock), and it goes up in value, she will owe capital gains  tax on any gains when she sells it.  Long term capital gains tax (which is less than income tax) if she holds it for more than a year.  Short term capital gains tax (which is the same as income tax) if she holds it for less than a year.

Good luck.",WARNING,
11,If he was telling the truth about the relationship problems of that friend then he would have not deleted it because he could have proven that he was innocent. The friend could have easily been in on it no doubt but that's hard to prove. I always expect the worst so i can never be dissapointed but i know that's not a very healthy attitude. If you can't get over it wich i would completely understand then he has the obligation and responsability to prove his innosence to you in a way that you will accept because when there's a possibility of cheating it should not be taken lightly.,APPRAISAL,
12,"My first concert (Outside of Choir or Bands) was a Lindsey Stirling concert, as an adult -because I'm super introverted.  People dressed up sort of dorky and cheered in the mosh pit, but nothing bad happened at all.  (I'm not sure this is an accurate example, because she's Mormon and always has an uplifting sort of show.  She's a real entertainer!  Check her out.)  I'd say get a seat that's away from the pit if you're worried about the bad stuff. 

I don't know your age at all.  So my advice could be hit or miss.  If you're a minor, why don't you ask your parents to come with you?  Sit them down and explain that a seat away from that area is likely much nicer, where you can just enjoy the experience.  Tell them you want to share the experience and one of your favorite bands with them, and that you really don't want to miss this opportunity.  Or even take them to a concert that might not be as 'intense', like a Lindsey Stirling concert.  Maybe show them videos of performances.  Most aren't as 'wild' as your parents expect them to be, I'm sure.",ADVICE,
13,UNLESS they're trying to low-ball you? Are there any other reasons an employer would do this?,WARNING,
14,My guess too. BV is the only vag infection I've seen doctors reel back from on reality TV due to the smell. The fish smell is a give away. A colleague had it and you could smell it after she had been to the loo. I'd describe it as 'a kipper dipped in piss'. Luckily you can get meds over the counter (in the UK) Canestan do an at home test kit for it. ,ADVICE,
15,"Hard to tell because of very little detail, but always remember: ""You miss 100% of the shots you don't take.""

But if you take the shot prepare and try to give their point of view some thought. Don't rush!

Real friendship is something very precious and should be seen as such. 

Hope it works out!",ADVICE,
16,"NAL, but former Naval Officer here.  Technically adultery is a violation of the UCMJ, but in my experience this only got charged if it was 'prejudicial to good order & discipline'; i.e., something like a sailor sleeping with the wife of another sailor on the same ship.    So, your reporting it probably wouldn't have any effect on him.",WARNING,
17,"Moving in with someone will completely change how you see them as a person. You have to deal with their individual ""things"" and it can drive you crazy. You don't really get a ton of away time from them, and hanging out all the time can get old. 

I'm not saying this will happen, but that's just something to keep in mind. 

If I'm understanding you correctly, the other girl is the one you used to have a crush on? People change overtime. She may not be the exact same person as she was then, and perhaps things about your personality have changed too.",WARNING,
18,Don’t take her back. Classic case of the grass being greener then realizing it ain’t. She took a shot and she lost. Move on.,ADVICE,
19,"You have done your part. Unfortunatly this is something that is not within your ability to fix. As I said, your only option is to minimize the damage to yourself and be there for her. You do not have the key to ""FIXING"" this girl. You can't. It doesnt work that way.  The few movies that actually touch on the subject are wrong. There isn't a phrase you can say or a certain thing that happens that makes everything ok.  She needs to WANT to get better. Again you are not in control of that. You aren't supposed to be.  People live through this, go to school for a DECADE, paying tens of thousands of dollars and still are sometimes unable to help.  Please. Seek therapy yourself, they are far better able to help you than random people on the internet and can are more capable of guiding you through these difficult issues.",ADVICE,
20,"If you have HSV you skin is ""shedding"" the herpes cells. Rubbing your cock and making friction could have flaked off skin cells. I think come clean to her. Maybe you did pass it to her, maybe you didn't, but why risk her health?",ADVICE,
21,"And if she says no, she would probably guess I'm gonna try to get a date with her, what should I do under this kind of pressure :D ?

",ANECDOTE,
22,"It’s possible that you love them in a way that isn’t sexual. 

There’s many types of love, and attraction and closeness. In western culture we kind of expect it to lump all together. 

It’s also possible that as intimacy grows, sexual desire will. 

Just enjoy it for what it is, no pressure, it’s a new experience. Whatever happens happens. ",ADVICE,
