text,true_label,predicted_label
Call your local fire Marshall and advise them that the landlord is refusing to install smoke detectors. Maybe even delve into checking with the IRS if he is claiming that property as primary residence fraudulently. Also be prepared to find a new apartment as they will illegally evict you.,WARNING,ADVICE
Realize that moving is not the only way to get out and explore. You live in a city there's all sorts of shot to do but I understand that can be difficult to see when u have depression. I myself suffer from depression and I can say that you need to find something that gives you that alive sort of feeling/drive but isn't as drastic as moving.,ADVICE,APPRAISAL
"You most certainly can tell your mother that you have concerns about it being a scam. Raising the concern is the responsible thing to do both as an adult and as a dutiful adult child. 

The situation you described is highly suspect, and if you facilitate you will most likely end up personally losing $30k and facing significant consequences if you don’t have your own extra cash to cover the loss. 

What is the source of the check? Why can’t she transfer it herself? If she’s writing the check herself off an account she owns and controls, she should be able to initiate her own transfer. If it’s coming from someone else, they should be able to wire it directly. ",ADVICE,WARNING
"Just based off of the gagging it sounds like a possible ed, ARFID, a selective eating disorder. It depends though, Does he only a small variety of things? As in does he only seem to eat hot dogs, hamburgers, and chicken nuggets? I suggest looking into it.",ADVICE,ANECDOTE
"Good advice, I will break this out in a spread sheet",ANECDOTE,ADVICE
how are my expectations unreasonable?,EMOTIONAL_SUPPORT,APPRAISAL
"Your pride is not important. His desires are not important. As if 7 months ago, the only thing that matters is your daughter. Do what you need to do to make sure she has the best you can provide. If that means being embarrassed by ""I told you so"", so be it. ",WARNING,ADVICE
"I personally couldn't be with someone like that and if I were you, I would document his behavior to establish a pattern of abusive potential to prevent him from taking custody of your child, although it doesn't sound like he is interested. This doesn't sound like a safe or healthy situation for baby. Alcoholics often snap. You should seek help from your family and never let anyone shame you for your choices to be with him or have a baby, you can only move forward with your life. I bet your baby is beautiful, I wish you the best of luck. ",ADVICE,WARNING
"I'd like to point out, you're about to graduate and either go to university or get a full time job, she's still *early* on in school. You're in completely different stages of your lives, she won't be on your level when you graduate.",WARNING,APPRAISAL
"Your parents won't be raising the kid, they don't get a say. The child will rely on you completely for at least 20 years, and if you're not ready for that commitment then that's all there is to it. I think you should try and figure out what your own opinions are on the matter, seperate from your husbands or parents, and then sit down and have a real conversation with him about what kind of time frame you're thinking. You have time, but if you don't think you ever want them, your husband deserves to know that as soon as possible.",APPRAISAL,ADVICE
"Do you care more about fostering a healthy relationship wherein emotion and love take precedent, or is being the best sexual partner she's had really that important?

Find your balance between the two. She's with you and not him. That does speak a volume louder than words could. ",ADVICE,APPRAISAL
"The first red flag was her making him cut ties with friends, even in a relationship a guy can still have friends with people of the opposite sex.",ANECDOTE,APPRAISAL
"Your son is an adult. He didn’t “run away” except in the sense that he left abusive parents. 

The curious lack of any specifics in your original post of what you and your husband did to prompt this, the insulting dismissal of his feelings and actions, and the trickle of not-so-carefully screened truths in replies to commenters pressing for more information all paint a textbook picture of your situation: your husband abused him, and you co-abused by putting and keeping your child with this man, and by insulting, belittling, and dismissing your son’s feelings. You are experiencing the results: he left, and he wants nothing to do with either of you. 

Now you have a choice: reflect on your choices, your behavior, and your selection in partners, resolve to get better for your own sake, and put in the work to become a better person, and hope that maybe one day he’ll give you another chance and you can be the mother he deserved to have all this time. Or you can engage in self pity and continue to childishly blame your child for all that’s happened, while still expecting him to give a shit and have a relationship with you. The latter choice will not get you what you want, just to give you a preview. You made a lot of choices to get to where you are today; you will have to make a lot of choices to atone and become better. ",APPRAISAL,ADVICE
"You know, I don't think that this is that big a deal.  What is a bigger deal is that your BF is STILL TALKING TO HIS EX.  He cannot get over her as long as he is texting her.  They're basically carrying on an emotional relationship with each other.  She is making sure he is constantly thinking about her by texting him.  I don't know if you feel this is cheating or not, but he should block her, erase her and delete her from his phone and his social media.   She cannot ""bug"" him if he BLOCKS HER.

I know how difficult it is to cut someone out of your life.  But this is like any other romantic relationship.  When it's over, it's over.  Most people cannot be friends with their exes, and it definitely hurts a relationship if he's constantly in touch with his ex.

You need to talk with him and get your BF to block her.  You know what his ex is trying to do.  She's trying to break you up.  He should not be giving her the chance to do it!",WARNING,ADVICE
Huge red flag here my guy,APPRAISAL,ANECDOTE
"don't think i was clear my apologies; he doesn't live here, and she doesn't own the house, my aunt does. 

thank you though, i'll take this into consideration.",ADVICE,ANECDOTE
I get that.  I also recently found out something that you might want to look into based your income/employment situation.  I do not know all the details but essentially the IRS will forgive previous tax debt and the only requirement is to file and pay your taxes for 5 yrs moving forward.  Not sure how they look at business tax liabilities but again something to talk to an accountant or BK lawyer about.  Good luck!,ADVICE,APPRAISAL
"Go with the happiness, you don't want to stay with someone just because of familiarity and spend the rest of your life thinking 'what if' ",ADVICE,APPRAISAL
"When you are with someone for a long time, especially when you start dating young , there is a transition. A persons tastes may change, they may become complacent. They may start doing things they normally won’t do. 

You said something about failing relationship. First off, it’s ok to fail. In this case it wasn’t you who failed the relationship, am I right? His behavior may seem mild now, but what happens if it does escalate and the next thing you are discovering is that he did have sex with another woman.

If you are living under the adoration of your friends because they envy your relationship, eventually that will wear away and you are left creating this facade to hide the truth. 

Perhaps you should confront him , tell him how this makes you feel. If your relationship is solid and everything is on the table then he should comply and say yeah I did it. But if he hides it or “it’s no big deal” , he’s paving the way for future things and you’re probably going to accept them or turn your head. Remember if you have a strong trusting relationship, he shouldn’t have anything to hide such as internet browsing histories etc. 

Shouldn’t he be idolizing you instead of them?

Relationships are hard work. People make mistakes. They should also correct certain behavior when it hurts the one they love. ",APPRAISAL,ADVICE
"She caused you lots of pain and emotional uncertainty / discomfort. It's hard for your brain to see her happy and feel that she deserves it. Problem solved. 

Note - she will probably get divorced or not married at all she's 19 FFS and has 0 business getting married, i'd remind yourself of the proverbial 50. cal bullet you dodged by her dumping you. I'm sure her abusive behavior hasn't been cured",WARNING,APPRAISAL
"To clarify: Wife let’s dog outside with no collar, closes door but does not lock it. Soon thereafter the door opens and it’s Fedex guy walking in with the dog, whom he is calling by name. Drops package off on dining table, sees wife (naked/half naked), doesn’t say anything and just leaves. Is that correct? 

I’d start by calling Fedex. Then most likely follow by calling the police to file a report. 

Also curious, how far is the dining table from your front door?  Its not really relevant, just curious how far he walked into the house.  ",ADVICE,WARNING
"What are you worried will actually happen?

If he was going to cheat, he doesn’t need this venue to do it. 

You either trust him or you don’t. ",APPRAISAL,ADVICE
"It was hard for me finish reading your whole post because I wanted to shout 'RED FLAG! RED FLAG!' If you cannot talk to your best friend, you do not have an amazing relationship. And you are not ""allowing him to feel jealous,"" if you could actually control his emotions, you could wave you hand and command him not to feel jealous.  He feels jealous because he's choosing to believe there's something to be concerned about.  

This isn't exactly a matter of ""right"" or ""wrong"" or other judgments.  Different people have different personal boundaries as far as what is acceptable and comfortable in a relationship. It's important to know your own boundaries as well as your partners, so you can have a discussion about whether or not you're able to meet each others' needs. 

What are your boundaries?  What are your needs in and outside your relationship?  Does you partner honor and respect your needs?  Is this, overall, an appropriate situation for you?

&#x200B;

Tara Eisenhard  
Divorce/Breakup Coach",EMOTIONAL_SUPPORT,APPRAISAL
"I feel like all the other comments about the situation were leaning in this direction.

I know it’s hard to hear, darling, but it’s time to leave before he gets physically abusive.

That’s the next logical progression for his behavior, as he already doesn’t respect your boundaries.....

Please understand that you are too amazing of
A human being to put up with such nonsense.
Any partner you’re involved with should treat you like the prize you are. Please understand that you are too incredible of a human being to be worthy of the physical abuse that this will escalate too.  I’m not saying it might. I’m saying it will.

Get out while you can.",WARNING,ADVICE
Oh. Thank you for that. I didn't know of that one. I'll pass that along. ,ANECDOTE,APPRAISAL
"It's even harder to win when it's your own fault, I would say...",ANECDOTE,APPRAISAL
